name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護リハビリステーションスマイル,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,caresmile.net,青森県青森市問屋町2－14－6,017-738-8111,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB%20%E9%9D%92%E6%A3%AE%E5%B8%82
リリオンナースステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%AA%E3%83%AA%E3%82%AA%E3%83%B3%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82,青森県青森市自由ヶ丘1丁目３－１,017-757-8217,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AA%E3%83%AA%E3%82%AA%E3%83%B3%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
ワンだふる訪問看護ステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://wander-ful1101.my.canva.site/,青森県青森市中佃二丁目10番6号コーポかまた102号,017-752-0661,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AF%E3%83%B3%E3%81%A0%E3%81%B5%E3%82%8B%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
ツクイ青森訪問看護ステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://corp.tsukui.net,青森県青森市本町1丁目4番17号大樹生命青森ビル4階,017-721-8022,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%84%E3%82%AF%E3%82%A4%E9%9D%92%E6%A3%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
訪問看護ステーションフウカ,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hhk-peace.jp,青森県青森市南佃2丁目18-7,017－752－8768,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%95%E3%82%A6%E3%82%AB%20%E9%9D%92%E6%A3%AE%E5%B8%82
えみい訪問看護ステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%88%E3%81%BF%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82,青森県青森市中央1丁目18-9ハイツTOMI　A棟102号室,017-718-2825,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%88%E3%81%BF%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
青森厚生病院　介護事業部,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E9%9D%92%E6%A3%AE%E5%8E%9A%E7%94%9F%E7%97%85%E9%99%A2%E3%80%80%E4%BB%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E9%83%A8%20%E9%9D%92%E6%A3%AE%E5%B8%82,青森県青森市大字新城字山田488番地１,017-788-3121,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%9D%92%E6%A3%AE%E5%8E%9A%E7%94%9F%E7%97%85%E9%99%A2%E3%80%80%E4%BB%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E9%83%A8%20%E9%9D%92%E6%A3%AE%E5%B8%82
医療法人明友会嶋中内科循環器科,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www3.ocn.ne.jp/~simanaka/index.html,青森県青森市青柳２丁目9-38,017-775-2111,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E6%98%8E%E5%8F%8B%E4%BC%9A%E5%B6%8B%E4%B8%AD%E5%86%85%E7%A7%91%E5%BE%AA%E7%92%B0%E5%99%A8%E7%A7%91%20%E9%9D%92%E6%A3%AE%E5%B8%82
訪問看護ステーションすずかけ,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.amc-headquarters-med.or.jp,青森市里見2丁目13番1号社会福祉法人　すずかけの里,017-761-1100,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%99%E3%81%9A%E3%81%8B%E3%81%91%20%E9%9D%92%E6%A3%AE%E5%B8%82
訪問看護ステーションやよい,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.keiju-w.or.jp/,青森市大字矢田前字弥生田47-2,017-726-5656,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%84%E3%82%88%E3%81%84%20%E9%9D%92%E6%A3%AE%E5%B8%82
じけいかい訪問看護ステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.jikei-kai.org,青森県青森市安田字近野146番地1青森慈恵会病院内,017-783-5120,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%98%E3%81%91%E3%81%84%E3%81%8B%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
訪問看護ステーションのぞみ,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AE%E3%81%9E%E3%81%BF%20%E9%9D%92%E6%A3%AE%E5%B8%82,青森県青森市東大野一丁目１－１２レトア１０１,017-763-5755,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AE%E3%81%9E%E3%81%BF%20%E9%9D%92%E6%A3%AE%E5%B8%82
協立訪問看護ステーション,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.aomori-h-coop.com,青森市問屋町１丁目１５番１０号看護多機能型居宅介護事業所ひまわり　2階,017-764-4477,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8D%94%E7%AB%8B%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%92%E6%A3%AE%E5%B8%82
医療法人　芙蓉会　訪問看護ステーション　マザー,訪問看護,青森県,青森市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.fuyoukai.or.jp/sanraku/jigyousho/houmon/mother.html,青森県青森市妙見３丁目１１－１４総合ケアセンターさんらく,017-728-2202,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E8%8A%99%E8%93%89%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%9E%E3%82%B6%E3%83%BC%20%E9%9D%92%E6%A3%AE%E5%B8%82
