name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションひまわり,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%20%E7%A7%8B%E7%94%B0%E5%B8%82,秋田県秋田市牛島西一丁目７番５号,018-825-0215,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%20%E7%A7%8B%E7%94%B0%E5%B8%82
訪問看護かえりえ秋田,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.8341te.com/,川元むつみ町7-13,018-827-5703,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%8B%E3%81%88%E3%82%8A%E3%81%88%E7%A7%8B%E7%94%B0%20%E7%A7%8B%E7%94%B0%E5%B8%82
秋田赤十字病院,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.akita-med.jrc.or.jp,秋田市上北手猿田字苗代沢２２２－１,018-829-5000,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%A7%8B%E7%94%B0%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%20%E7%A7%8B%E7%94%B0%E5%B8%82
訪問看護事業所あらや,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%81%82%E3%82%89%E3%82%84%20%E7%A7%8B%E7%94%B0%E5%B8%82,秋田県秋田市新屋沖田町9-21-101,018-853-1916,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%81%82%E3%82%89%E3%82%84%20%E7%A7%8B%E7%94%B0%E5%B8%82
ニコニコ訪問看護ステーション,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kyukokai.com,秋田県秋田市下新城中野字琵琶沼124-1,018-873-6171,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8B%E3%82%B3%E3%83%8B%E3%82%B3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82
訪問看護ステーション幸,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.oukyukai.net/,秋田市中通6丁目4-27,018-827-3515,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%B9%B8%20%E7%A7%8B%E7%94%B0%E5%B8%82
ケアコンプレックス高清水　訪問看護ステーション,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%82%B3%E3%83%B3%E3%83%97%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E9%AB%98%E6%B8%85%E6%B0%B4%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82,秋田県秋田市土崎港南３丁目１３番４４号,018-853-5163,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%82%B3%E3%83%B3%E3%83%97%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E9%AB%98%E6%B8%85%E6%B0%B4%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82
リンデンバウム訪問看護ステーション,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.izumi.akita.jp/,秋田県秋田市泉菅野二丁目17番11号,018-896-5888,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AA%E3%83%B3%E3%83%87%E3%83%B3%E3%83%90%E3%82%A6%E3%83%A0%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82
秋田市医師会訪問看護ステーション,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.acma.or.jp,秋田市八橋南一丁目８－５,018-864-1551,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%A7%8B%E7%94%B0%E5%B8%82%E5%8C%BB%E5%B8%AB%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82
訪問看護ステーション心音,訪問看護,秋田県,秋田市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%BF%83%E9%9F%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82,秋田県秋田市広面字樋ノ沖35-2,018-838-6201,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%BF%83%E9%9F%B3%20%E7%A7%8B%E7%94%B0%E5%B8%82
