name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションバウンス,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://bounce.yamagata.jp/,山形県山形市村木沢426の1,023-616-4117,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%90%E3%82%A6%E3%83%B3%E3%82%B9%20%E5%B1%B1%E5%BD%A2%E5%B8%82
訪問看護ステーションふれあい,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%20%E5%B1%B1%E5%BD%A2%E5%B8%82,山形県山形市桜田西４丁目1-14,023-628-3977,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%20%E5%B1%B1%E5%BD%A2%E5%B8%82
済生会山形訪問看護ステーション,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.yamagata-saiseikai.org/nu_station_main.html,山形県山形市沖町７９－１,023-682-0135,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%B8%88%E7%94%9F%E4%BC%9A%E5%B1%B1%E5%BD%A2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B1%B1%E5%BD%A2%E5%B8%82
訪問看護ステーション　樫の木,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://daiwa-med.co.jp/,山形市上町４丁目６-２４,023-644-3364,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E6%A8%AB%E3%81%AE%E6%9C%A8%20%E5%B1%B1%E5%BD%A2%E5%B8%82
訪問看護リハビリステーション敬寿園,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://keijuen.or.jp/,山形県山形市南原町3-16-1佐藤ビル102,023-687-1420,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%95%AC%E5%AF%BF%E5%9C%92%20%E5%B1%B1%E5%BD%A2%E5%B8%82
ナースケア山形,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B1%E3%82%A2%E5%B1%B1%E5%BD%A2%20%E5%B1%B1%E5%BD%A2%E5%B8%82,山形市嶋南２-２-７,023-682-8544,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B1%E3%82%A2%E5%B1%B1%E5%BD%A2%20%E5%B1%B1%E5%BD%A2%E5%B8%82
オールケア山形,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%AA%E3%83%BC%E3%83%AB%E3%82%B1%E3%82%A2%E5%B1%B1%E5%BD%A2%20%E5%B1%B1%E5%BD%A2%E5%B8%82,山形県山形市西田三丁目3-15,023-674-8871,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%AA%E3%83%BC%E3%83%AB%E3%82%B1%E3%82%A2%E5%B1%B1%E5%BD%A2%20%E5%B1%B1%E5%BD%A2%E5%B8%82
在宅リハビリ看護ステーションつばさ,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.tbasa.co.jp,山形県山形市青田南6番13号,023-627-7011,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%9C%A8%E5%AE%85%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A4%E3%81%B0%E3%81%95%20%E5%B1%B1%E5%BD%A2%E5%B8%82
社会福祉法人山形　　サンシャイン訪問看護ステーション,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://sunshine-oomori.jp/,山形県山形市大字大森2139番地1,023-676-8660,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E6%B3%95%E4%BA%BA%E5%B1%B1%E5%BD%A2%E3%80%80%E3%80%80%E3%82%B5%E3%83%B3%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%B3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B1%B1%E5%BD%A2%E5%B8%82
リハビリ特化型　訪問看護ステーション菜の花,訪問看護,山形県,山形市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E7%89%B9%E5%8C%96%E5%9E%8B%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E8%8F%9C%E3%81%AE%E8%8A%B1%20%E5%B1%B1%E5%BD%A2%E5%B8%82,山形県山形市印役町4丁目5番23号,023-665-5590,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E7%89%B9%E5%8C%96%E5%9E%8B%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E8%8F%9C%E3%81%AE%E8%8A%B1%20%E5%B1%B1%E5%BD%A2%E5%B8%82
