name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーション　明日の樹,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E6%98%8E%E6%97%A5%E3%81%AE%E6%A8%B9%20%E7%A6%8F%E5%B3%B6%E5%B8%82,福島市南矢野目字中江10-12,024-572-4558,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E6%98%8E%E6%97%A5%E3%81%AE%E6%A8%B9%20%E7%A6%8F%E5%B3%B6%E5%B8%82
福島赤十字訪問看護ステーション,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.fukushima-med-jrc.jp/,福島県福島市八島町７－７,024-526-3344,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E8%B5%A4%E5%8D%81%E5%AD%97%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A6%8F%E5%B3%B6%E5%B8%82
医療法人社団敬愛会けいあい訪問看護ステーション,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.keiai-kai.or.jp,福島県福島市方木田字本方木田46－1敬愛会方木田ビル2階,024-573-0634,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E6%95%AC%E6%84%9B%E4%BC%9A%E3%81%91%E3%81%84%E3%81%82%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A6%8F%E5%B3%B6%E5%B8%82
訪問看護ステーション松陵,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.suzukiclinic-matsukawa.jp/,福島県福島市松川町桜内7-2,024-567-7007,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%9D%BE%E9%99%B5%20%E7%A6%8F%E5%B3%B6%E5%B8%82
ニチイケアセンター鎌田　訪問看護ステーション,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,hstA65＠nichiigakkan.co.jp,福島市丸子字町頭14-1,024-552-5353,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8B%E3%83%81%E3%82%A4%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E9%8E%8C%E7%94%B0%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%A6%8F%E5%B3%B6%E5%B8%82
訪問看護ステーションかしの木,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://shimizunosato.com,福島県福島市泉字清水3-4,024-563-1695,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%97%E3%81%AE%E6%9C%A8%20%E7%A6%8F%E5%B3%B6%E5%B8%82
訪問看護ステーション　デューン福島,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E7%A6%8F%E5%B3%B6%20%E7%A6%8F%E5%B3%B6%E5%B8%82,福島県福島市松木町9番11号松木町共栄ビル5階,024-572-7552,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E7%A6%8F%E5%B3%B6%20%E7%A6%8F%E5%B3%B6%E5%B8%82
セントケア訪問看護ステーション福島中央,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.saint-care.com/tohokumiyagi/,太田町31-9Fテナント,024-525-2023,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%BB%E3%83%B3%E3%83%88%E3%82%B1%E3%82%A2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E7%A6%8F%E5%B3%B6%E4%B8%AD%E5%A4%AE%20%E7%A6%8F%E5%B3%B6%E5%B8%82
あいず訪問看護ステーション福島,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http;//www.aizu-company.co.jp,堀河町1-7102,024-563-6214,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%82%E3%81%84%E3%81%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E7%A6%8F%E5%B3%B6%20%E7%A6%8F%E5%B3%B6%E5%B8%82
ヘルパーステーションくるみ,訪問看護,福島県,福島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8F%E3%82%8B%E3%81%BF%20%E7%A6%8F%E5%B3%B6%E5%B8%82,福島県福島市永井川字壇ノ腰2-2F・フェアリー105,024-572-4153,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%98%E3%83%AB%E3%83%91%E3%83%BC%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8F%E3%82%8B%E3%81%BF%20%E7%A6%8F%E5%B3%B6%E5%B8%82
