name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーション　あゆむ,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%82%E3%82%86%E3%82%80%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市河和田町　２８０－１０,029－353－7186,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%82%E3%82%86%E3%82%80%20%E6%B0%B4%E6%88%B8%E5%B8%82
医療法人財団　古宿会　水戸中央病院,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.mitocho-hsp.or.jp,水戸市六反田町1136-1,029-309-8705,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E8%B2%A1%E5%9B%A3%E3%80%80%E5%8F%A4%E5%AE%BF%E4%BC%9A%E3%80%80%E6%B0%B4%E6%88%B8%E4%B8%AD%E5%A4%AE%E7%97%85%E9%99%A2%20%E6%B0%B4%E6%88%B8%E5%B8%82
公益社団法人茨城県看護協会　訪問看護ステーション　絆,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.ina.or.jp/,水戸市緑町3丁目5番40号,029-221-7150,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%85%AC%E7%9B%8A%E7%A4%BE%E5%9B%A3%E6%B3%95%E4%BA%BA%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%9C%8B%E8%AD%B7%E5%8D%94%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%B5%86%20%E6%B0%B4%E6%88%B8%E5%B8%82
Job・Design株式会社　訪問看護ステーション　Liveway,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=Job%E3%83%BBDesign%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80Liveway%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市笠原町1189-2グリーンヒル西野ビル3F,029-305-5825,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=Job%E3%83%BBDesign%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80Liveway%20%E6%B0%B4%E6%88%B8%E5%B8%82
ゆりかご☆ナース,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.yurikago-kaigo.com/,茨城県水戸市飯富町3467-1,029-229-7562,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%86%E3%82%8A%E3%81%8B%E3%81%94%E2%98%86%E3%83%8A%E3%83%BC%E3%82%B9%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーション　デューン水戸,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市城南３丁目１６番１０号コトヴェール城南101号室,029-233-2320,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーション堀,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%A0%80%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市堀町1297-1,029-291-8006,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%A0%80%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーション　とうはら,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%A8%E3%81%86%E3%81%AF%E3%82%89%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市酒門町2950-5,029-303-5805,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%A8%E3%81%86%E3%81%AF%E3%82%89%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションすいふ,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%99%E3%81%84%E3%81%B5%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市赤塚1丁目1番地,029-309-6659,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%99%E3%81%84%E3%81%B5%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションあやめ水戸内原,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://firstnurse.co.jp/,茨城県水戸市内原町1065-1ドゥリエールハイツ101号室,029-303-5030,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%82%84%E3%82%81%E6%B0%B4%E6%88%B8%E5%86%85%E5%8E%9F%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーション　パプリカ,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%91%E3%83%97%E3%83%AA%E3%82%AB%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市姫子1-125-1,029-297-2820,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%91%E3%83%97%E3%83%AA%E3%82%AB%20%E6%B0%B4%E6%88%B8%E5%B8%82
フレアス訪問看護ステーション水戸,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://fureasu.jp,茨城県水戸市堀町1810-1,029-291-7005,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%95%E3%83%AC%E3%82%A2%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションひまわり水戸,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.mitochuo-hsp.or.jp/himawari_mito/index.html,茨城県水戸市百合が丘町814-477,029-306-8588,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82
いばらき診療所みと訪問看護ステーション,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.ibc.or.jp/mito/index.html,水戸市五軒町1-3-34第一会計ビル３階,029-228-5663,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%84%E3%81%B0%E3%82%89%E3%81%8D%E8%A8%BA%E7%99%82%E6%89%80%E3%81%BF%E3%81%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B0%B4%E6%88%B8%E5%B8%82
ケアズ水戸訪問看護リハビリステーション,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://cares-mito.net/,茨城県水戸市千波町1253-4　2Fプロシードビル,029-303-5201,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%82%BA%E6%B0%B4%E6%88%B8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B0%B4%E6%88%B8%E5%B8%82
ケアプラス浜田訪問看護リハビリステーション,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.care-plus.net,茨城県水戸市本町1丁目4－16,029-291-7117,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%83%97%E3%83%A9%E3%82%B9%E6%B5%9C%E7%94%B0%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーション静こころ,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%9D%99%E3%81%93%E3%81%93%E3%82%8D%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市開江町960,029-291-5907,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%9D%99%E3%81%93%E3%81%93%E3%82%8D%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションもも,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://momo-houmonkango.com/,茨城県水戸市松本町15-7飯村不動産第六ビル103,09047293320,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%82%E3%82%82%20%E6%B0%B4%E6%88%B8%E5%B8%82
みかん訪問看護リハビリステーション,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://mikan-hmc.com/,茨城県水戸市堀町2277-54プランドールB棟101,050-3125-5378,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BF%E3%81%8B%E3%82%93%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護事業所　ハート２４,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.heart-pia.com/,茨城県水戸市開江町８番地,０２９－２１２－３５００,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E3%83%8F%E3%83%BC%E3%83%88%EF%BC%92%EF%BC%94%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションふたりしずか,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%81%9F%E3%82%8A%E3%81%97%E3%81%9A%E3%81%8B%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市石川4-4039-26,029-255-1202,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%81%9F%E3%82%8A%E3%81%97%E3%81%9A%E3%81%8B%20%E6%B0%B4%E6%88%B8%E5%B8%82
訪問看護ステーションふくろう,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://info855995.wixsite.com/hukurou,茨城県水戸市酒門町4887,029-226-6555,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%81%8F%E3%82%8D%E3%81%86%20%E6%B0%B4%E6%88%B8%E5%B8%82
みと南部訪問看護ステーション,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://swc-jinshinkai.com,平須町2-72みと南部ケアセンター,029-305-3223,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BF%E3%81%A8%E5%8D%97%E9%83%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B0%B4%E6%88%B8%E5%B8%82
医心館訪問看護ステーション水戸,訪問看護,茨城県,水戸市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E5%BF%83%E9%A4%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82,茨城県水戸市元吉田町1052-1,029-291-3815,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E5%BF%83%E9%A4%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%B0%B4%E6%88%B8%20%E6%B0%B4%E6%88%B8%E5%B8%82
