name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
あおやぎ訪問看護ステーション,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://ichijinllc.wixsite.com/2021,群馬県前橋市青柳町４７１－６,027-289-5454,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%82%E3%81%8A%E3%82%84%E3%81%8E%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションけやき,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.jnk.jp,群馬県前橋市下大島町５９６－１,０２７－２６６－２２８４,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%91%E3%82%84%E3%81%8D%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションあやめ前橋総社町,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://firstnurse.co.jp/,群馬県前橋市川原町1丁目31-12ウエストパレスMIII103号室,027-289-4808,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%82%84%E3%82%81%E5%89%8D%E6%A9%8B%E7%B7%8F%E7%A4%BE%E7%94%BA%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションかえで大渡,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%88%E3%81%A7%E5%A4%A7%E6%B8%A1%20%E5%89%8D%E6%A9%8B%E5%B8%82,群馬県前橋市大渡町1-1-58,027-212-8103,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%88%E3%81%A7%E5%A4%A7%E6%B8%A1%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションかえで二之宮,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%88%E3%81%A7%E4%BA%8C%E4%B9%8B%E5%AE%AE%20%E5%89%8D%E6%A9%8B%E5%B8%82,群馬県前橋市二之宮町1058-1,027-226-1011,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%88%E3%81%A7%E4%BA%8C%E4%B9%8B%E5%AE%AE%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションRIBON,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://ribon-support.com/,群馬県前橋市下細井町５２４番地４,027-289-5802,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3RIBON%20%E5%89%8D%E6%A9%8B%E5%B8%82
EMOナースステーション,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=EMO%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%89%8D%E6%A9%8B%E5%B8%82,群馬県前橋市下小出町３-26-5,027-212-8723,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=EMO%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%89%8D%E6%A9%8B%E5%B8%82
コンパス訪問看護前橋,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://keigo-group.co.jp/shop/gunmaken/1039_02/,群馬県前橋市北代田町１６９－３,027-257-7835,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B3%E3%83%B3%E3%83%91%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E5%89%8D%E6%A9%8B%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションすまいる,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.nexthd.co.jp/,群馬県前橋市粕川町深津1938-23,027-212-0688,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%99%E3%81%BE%E3%81%84%E3%82%8B%20%E5%89%8D%E6%A9%8B%E5%B8%82
訪問看護ステーションいろは,訪問看護,群馬県,前橋市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%84%E3%82%8D%E3%81%AF%20%E5%89%8D%E6%A9%8B%E5%B8%82,群馬県前橋市高井町１－１４－７,０２７－２８９－９７４１,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%84%E3%82%8D%E3%81%AF%20%E5%89%8D%E6%A9%8B%E5%B8%82
