name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
りーふ訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%8A%E3%83%BC%E3%81%B5%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA,東京都千代田区神田美土代町9-3日経タイプビル　4階,03-5217-4670,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%8A%E3%83%BC%E3%81%B5%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
みつい訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%BF%E3%81%A4%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA,東京都千代田区飯田橋1-8-9ニューシティハイツ飯田橋7階,03-5215-1507,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BF%E3%81%A4%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
セレリアンス訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.serelience.co.jp/,東京都千代田区平河町2丁目4番8号平河町アーバンビル6F,03-6380-8778,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%BB%E3%83%AC%E3%83%AA%E3%82%A2%E3%83%B3%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
ルルドの泉訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https:///luludonoizumi.jp/,東京都千代田区神田小川町3－11－2インペリアル御茶ノ水　1007,03-5534-8900,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AB%E3%83%AB%E3%83%89%E3%81%AE%E6%B3%89%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
九段訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.stella-kudan.com,東京都千代田区九段北1-10-5九段櫻ビル8階,03-6272-5732,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E4%B9%9D%E6%AE%B5%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
アクア訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://active-ca.com/,東京都千代田区神田司町2-17-6新商神田ビル5F,03-3518-6403,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%A2%E3%82%AF%E3%82%A2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
麹町訪問看護ステーション,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.7610.co.jp,東京都千代田区二番町11-20Museum1999二番町ビル1階,03-6261-3927,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%BA%B9%E7%94%BA%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
かのん訪問看護ステーションちよだ,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://sosen-medical.co.jp/kanon-chiyoda,東京都千代田区平河町2-3-10ラインズマンション平河町606号室,03‐6261-6776,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%8B%E3%81%AE%E3%82%93%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A1%E3%82%88%E3%81%A0%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
在宅看護センター番町,訪問看護,東京都,千代田区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://home-carenurse.com,東京都千代田区麹町2-14-6麹町パレス505,03-6910-0397,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%9C%A8%E5%AE%85%E7%9C%8B%E8%AD%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E7%95%AA%E7%94%BA%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA
chezmoi晴海　訪問看護ステーション,訪問看護,東京都,中央区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.chezmoi.jp,東京都中央区晴海3-13-1DEUXTOURS　EAST棟4611,0120-03-8866,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=chezmoi%E6%99%B4%E6%B5%B7%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%AD%E5%A4%AE%E5%8C%BA
