name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護事業所　白寿園,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hakujuen.co.jp/,石川県金沢市浅野本町二122番1,076-251-1004,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E7%99%BD%E5%AF%BF%E5%9C%92%20%E9%87%91%E6%B2%A2%E5%B8%82
医療法人社団　映寿会　みらい病院,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://eijukai.jp,石川県金沢市鞍月東１丁目９番地,076-208-2002,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E3%80%80%E6%98%A0%E5%AF%BF%E4%BC%9A%E3%80%80%E3%81%BF%E3%82%89%E3%81%84%E7%97%85%E9%99%A2%20%E9%87%91%E6%B2%A2%E5%B8%82
訪問看護ステーションほ～っと,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.station-hot.com,石川県金沢市高尾南2丁目58番地虎本テナント２階１号,076-256-3830,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%BB%EF%BD%9E%E3%81%A3%E3%81%A8%20%E9%87%91%E6%B2%A2%E5%B8%82
金沢健康福祉財団訪問看護ステーション,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.kanazawa-kenko-plaza.or.jp/,石川県金沢市大手町3-23金沢健康プラザ大手町　西館,076-222-0333,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%87%91%E6%B2%A2%E5%81%A5%E5%BA%B7%E7%A6%8F%E7%A5%89%E8%B2%A1%E5%9B%A3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%87%91%E6%B2%A2%E5%B8%82
訪問看護ステーション春日和金沢,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%98%A5%E6%97%A5%E5%92%8C%E9%87%91%E6%B2%A2%20%E9%87%91%E6%B2%A2%E5%B8%82,石川県金沢市乙丸町甲144番地,076-213-5292,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%98%A5%E6%97%A5%E5%92%8C%E9%87%91%E6%B2%A2%20%E9%87%91%E6%B2%A2%E5%B8%82
訪問看護ステーションKANON,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3KANON%20%E9%87%91%E6%B2%A2%E5%B8%82,石川県金沢市有松4丁目10番2号2階,07055872373,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3KANON%20%E9%87%91%E6%B2%A2%E5%B8%82
訪問看護ステーションいしびき,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www3.ocn.ne.jp/~matsu-hp/,金沢市飛梅町2-14紅梅マンション101,076-221-1005,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%84%E3%81%97%E3%81%B3%E3%81%8D%20%E9%87%91%E6%B2%A2%E5%B8%82
つつじの家訪問看護ステーション,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://ekango.com/,石川県金沢市つつじが丘53番地,076-287-0490,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%A4%E3%81%A4%E3%81%98%E3%81%AE%E5%AE%B6%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%87%91%E6%B2%A2%E5%B8%82
医療法人社団浅ノ川　心臓血管センター金沢循環器病院,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.kanazawa-heart.or.jp/,石川県金沢市田中町は１６番地,076-253-8000,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E6%B5%85%E3%83%8E%E5%B7%9D%E3%80%80%E5%BF%83%E8%87%93%E8%A1%80%E7%AE%A1%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E9%87%91%E6%B2%A2%E5%BE%AA%E7%92%B0%E5%99%A8%E7%97%85%E9%99%A2%20%E9%87%91%E6%B2%A2%E5%B8%82
訪問看護事業所　ふくわらい,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.hakusoukai.jp,石川県金沢市横川5-21有料老人ホーム　ふくわらい,076-259-1124,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E3%81%B5%E3%81%8F%E3%82%8F%E3%82%89%E3%81%84%20%E9%87%91%E6%B2%A2%E5%B8%82
ふれあい訪問看護ステーション,訪問看護,石川県,金沢市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%87%91%E6%B2%A2%E5%B8%82,石川県金沢市鞍月5丁目205番地ミレニアム・D　103号室,050-1113-0488,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%87%91%E6%B2%A2%E5%B8%82
