name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーション　デューン甲府,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nfield.co.jp/,山梨県甲府市丸の内二丁目28番9号寺田ビル2階,055-226-0050,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E7%94%B2%E5%BA%9C%20%E7%94%B2%E5%BA%9C%E5%B8%82
ほうもんかんごすてーしょんあやめこうふ,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.firstnurse.co.jp,山梨県甲府市朝気2-2-9ハイツワンダー103,055-236-6222,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BB%E3%81%86%E3%82%82%E3%82%93%E3%81%8B%E3%82%93%E3%81%94%E3%81%99%E3%81%A6%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%E3%81%82%E3%82%84%E3%82%81%E3%81%93%E3%81%86%E3%81%B5%20%E7%94%B2%E5%BA%9C%E5%B8%82
医療法人慶友会城東病院　訪問看護ステーション　あんじゅ,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E6%85%B6%E5%8F%8B%E4%BC%9A%E5%9F%8E%E6%9D%B1%E7%97%85%E9%99%A2%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%82%E3%82%93%E3%81%98%E3%82%85%20%E7%94%B2%E5%BA%9C%E5%B8%82,山梨県甲府市城東4丁目12番9号,055-233-6000,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E6%85%B6%E5%8F%8B%E4%BC%9A%E5%9F%8E%E6%9D%B1%E7%97%85%E9%99%A2%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%82%E3%82%93%E3%81%98%E3%82%85%20%E7%94%B2%E5%BA%9C%E5%B8%82
医療法人山角会　訪問看護ステーションウィズアス,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.yamazumikai.jp/,山梨県甲府市美咲1-7-17ノア桂102号,055-288-9891,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%B1%B1%E8%A7%92%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A6%E3%82%A3%E3%82%BA%E3%82%A2%E3%82%B9%20%E7%94%B2%E5%BA%9C%E5%B8%82
訪問看護ステーションここれ,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%93%E3%81%93%E3%82%8C%20%E7%94%B2%E5%BA%9C%E5%B8%82,山梨県甲府市住吉５－３－１７J・I甲府第一マンション１０１,050-8882-9822,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%93%E3%81%93%E3%82%8C%20%E7%94%B2%E5%BA%9C%E5%B8%82
ゆたか訪問看護ステーション,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%86%E3%81%9F%E3%81%8B%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%94%B2%E5%BA%9C%E5%B8%82,山梨県甲府市下飯田４－３－２ハイツインターⅡ１０３,055-287-8411,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%86%E3%81%9F%E3%81%8B%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E7%94%B2%E5%BA%9C%E5%B8%82
訪問看護ステーションハッピースマイル,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.happy-clinic.jp/,山梨県甲府市上阿原町487‐1,055‐267‐5401,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB%20%E7%94%B2%E5%BA%9C%E5%B8%82
訪問看護ステーションくると,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8F%E3%82%8B%E3%81%A8%20%E7%94%B2%E5%BA%9C%E5%B8%82,山梨県甲府市千塚３丁目1-43,070-6673-1968,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8F%E3%82%8B%E3%81%A8%20%E7%94%B2%E5%BA%9C%E5%B8%82
ナーシングサポート甲府,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.frontier-gp.jp/,山梨県甲府市徳行3‐7‐20橘ビル202,055‐242‐7241,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8A%E3%83%BC%E3%82%B7%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E7%94%B2%E5%BA%9C%20%E7%94%B2%E5%BA%9C%E5%B8%82
訪問看護ステーション洗心,訪問看護,山梨県,甲府市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://tsuyukigroup.life/,山梨県甲府市朝気3-18-5,055-223-1234,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%B4%97%E5%BF%83%20%E7%94%B2%E5%BA%9C%E5%B8%82
