name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションGifuToSmile,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.gifutosmile.com/,岐阜県岐阜市早田東町9丁目6番地,058-297-7035,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3GifuToSmile%20%E5%B2%90%E9%98%9C%E5%B8%82
訪問看護ステーション　彩,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://yui-home.com/,岐阜県岐阜市切通5丁目１１－１１,058-213-1879,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%BD%A9%20%E5%B2%90%E9%98%9C%E5%B8%82
S-cube訪問看護リハビリステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hp.kaipoke.biz/,岐阜県岐阜市城東通4－21ヴィラマジョーレ101号,058-213-0732,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=S-cube%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
訪問看護ステーション　リハビリランド,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%83%A9%E3%83%B3%E3%83%89%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜県岐阜市上土居1丁目18番3号,058-374-7505,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%83%A9%E3%83%B3%E3%83%89%20%E5%B2%90%E9%98%9C%E5%B8%82
コンパス訪問看護ステーションぎふ,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%B3%E3%83%B3%E3%83%91%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8E%E3%81%B5%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜県岐阜市芋島４丁目３１－５,058－201-1056,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B3%E3%83%B3%E3%83%91%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8E%E3%81%B5%20%E5%B2%90%E9%98%9C%E5%B8%82
陽和彩訪問看護ステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://higasahoukan.jimdo.com/,岐阜県岐阜市柳津町宮東2丁目１７７パークサイド宮東１－Ｂ,０５８－３８８－７５１１,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%99%BD%E5%92%8C%E5%BD%A9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
げんきの家訪問看護ステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%92%E3%82%93%E3%81%8D%E3%81%AE%E5%AE%B6%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜県岐阜市福富天神前299-3,058-213-8834,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%92%E3%82%93%E3%81%8D%E3%81%AE%E5%AE%B6%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
指定訪問看護　ケアピット岐阜,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://nurse.medicalpit.com/,岐阜県岐阜市領下6-18-1シェラトン奥村１F,058-215-8590,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%8C%87%E5%AE%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%80%80%E3%82%B1%E3%82%A2%E3%83%94%E3%83%83%E3%83%88%E5%B2%90%E9%98%9C%20%E5%B2%90%E9%98%9C%E5%B8%82
はれのひ訪問看護ステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%AF%E3%82%8C%E3%81%AE%E3%81%B2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜県岐阜市北島8丁目14-17民田ビル2階,058-216-1077,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%AF%E3%82%8C%E3%81%AE%E3%81%B2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
リーベ訪問看護ステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%AA%E3%83%BC%E3%83%99%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜県岐阜市旦島1丁目6番14号２階梅田クリニック２階,058-215-7333,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AA%E3%83%BC%E3%83%99%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
訪問看護ステーション　ミルキー,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.milky-nurse.co.jp/,岐阜県岐阜市西鶉4丁目12番地3,058-201-2206,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%9F%E3%83%AB%E3%82%AD%E3%83%BC%20%E5%B2%90%E9%98%9C%E5%B8%82
こころの訪問看護ステーション　ひまわり,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kvell-1248.co.jp/,岐阜県岐阜市切通２丁目５番13,0583745779,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%93%E3%81%93%E3%82%8D%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%20%E5%B2%90%E9%98%9C%E5%B8%82
ソラリス訪問看護ステーション,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,nanairo77.com,岐阜県岐阜市長良福光2406-1Recente長良福光1階店舗,0582164594,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%BD%E3%83%A9%E3%83%AA%E3%82%B9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%B2%90%E9%98%9C%E5%B8%82
訪問看護ひだまりの里,訪問看護,岐阜県,岐阜市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%B2%E3%81%A0%E3%81%BE%E3%82%8A%E3%81%AE%E9%87%8C%20%E5%B2%90%E9%98%9C%E5%B8%82,岐阜市加納本石町3-1,058-272-1711,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%B2%E3%81%A0%E3%81%BE%E3%82%8A%E3%81%AE%E9%87%8C%20%E5%B2%90%E9%98%9C%E5%B8%82
