name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
静岡赤十字病院,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,houmon@shizuoka-med.jrc.or.jp,静岡市葵区追手町8番2号,054-254-4311,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%9D%99%E5%B2%A1%E8%B5%A4%E5%8D%81%E5%AD%97%E7%97%85%E9%99%A2%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
看護クラーク　静岡葵,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E7%9C%8B%E8%AD%B7%E3%82%AF%E3%83%A9%E3%83%BC%E3%82%AF%E3%80%80%E9%9D%99%E5%B2%A1%E8%91%B5%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,瀬名一丁目１１番３号,０５４－２６７－５１００,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%9C%8B%E8%AD%B7%E3%82%AF%E3%83%A9%E3%83%BC%E3%82%AF%E3%80%80%E9%9D%99%E5%B2%A1%E8%91%B5%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
かぶとむしの訪問看護リハビリステーション,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%8B%E3%81%B6%E3%81%A8%E3%82%80%E3%81%97%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,静岡県静岡市葵区籠上11-37,054-689-2008,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%8B%E3%81%B6%E3%81%A8%E3%82%80%E3%81%97%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
訪問看護ステーションクオーレ,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%AF%E3%82%AA%E3%83%BC%E3%83%AC%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,静岡県静岡市葵区千代田1丁目9ー28メゾンド・リコ101,054ー395ー7087,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%AF%E3%82%AA%E3%83%BC%E3%83%AC%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
ハートピアの森リハビリ訪問看護ステーションサテライト瀬名,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://heart-pia.co.jp/,瀬名川1-32-1101アベニューJF101,054-295-6980,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8F%E3%83%BC%E3%83%88%E3%83%94%E3%82%A2%E3%81%AE%E6%A3%AE%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B5%E3%83%86%E3%83%A9%E3%82%A4%E3%83%88%E7%80%AC%E5%90%8D%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
訪問看護ステーション瀬名川,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E7%80%AC%E5%90%8D%E5%B7%9D%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,静岡県静岡市葵区瀬名川1丁目32－70,054-298-7270,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E7%80%AC%E5%90%8D%E5%B7%9D%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
医心館訪問看護ステーション静岡Ⅱ,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E5%BF%83%E9%A4%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%9D%99%E5%B2%A1%E2%85%A1%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,静岡県静岡市葵区千代田5丁目10番20号,054-395-7767,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E5%BF%83%E9%A4%A8%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%9D%99%E5%B2%A1%E2%85%A1%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
訪問看護ステーション　ハーティ,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%8F%E3%83%BC%E3%83%86%E3%82%A3%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA,静岡県静岡市葵区馬場町14番地OMビル　訪問看護ステーション　ハーティ,054-273-4570,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%8F%E3%83%BC%E3%83%86%E3%82%A3%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
ホウカンSHIZUOKA葵,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://hokantokyo.org/cameria/,静岡県静岡市葵区上足洗1丁目6-30サニーコート上足203号室,054-294-7030,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%9B%E3%82%A6%E3%82%AB%E3%83%B3SHIZUOKA%E8%91%B5%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
訪問看護ステーションあやめ静岡葵,訪問看護,静岡県,静岡市葵区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://firstnurse.co.jp/,静岡県静岡市葵区上伝馬10-45パークサイド上伝馬202号室,054-270-7560,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%82%84%E3%82%81%E9%9D%99%E5%B2%A1%E8%91%B5%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA
