name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
三重県立一志病院,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.pref.mie.lg.jp/IHOS/HP/,三重県津市白山町南家城616,059-262-0600,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E4%B8%89%E9%87%8D%E7%9C%8C%E7%AB%8B%E4%B8%80%E5%BF%97%E7%97%85%E9%99%A2%20%E6%B4%A5%E5%B8%82
ハーモニーハウス津・大園　訪問看護ステーション,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.h-ikkou.co.jp/index.php,三重県津市大園町5-45,059-253-1122,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9%E6%B4%A5%E3%83%BB%E5%A4%A7%E5%9C%92%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%B4%A5%E5%B8%82
訪問看護　ここよ,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%80%80%E3%81%93%E3%81%93%E3%82%88%20%E6%B4%A5%E5%B8%82,三重県津市垂水522-1,059-246-5546,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%80%80%E3%81%93%E3%81%93%E3%82%88%20%E6%B4%A5%E5%B8%82
訪問看護ステーション　ほたるみえ,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.generous.co.jp,三重県津市乙部2112-1メッセウ常2F,059-291-6880,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%BB%E3%81%9F%E3%82%8B%E3%81%BF%E3%81%88%20%E6%B4%A5%E5%B8%82
訪問看護ステーションHappiness,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Happiness%20%E6%B4%A5%E5%B8%82,津市野崎垣内岩田355-3,0592028030,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Happiness%20%E6%B4%A5%E5%B8%82
訪問看護いちし,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://ichishinosato.hp4u.jp/,津市一志町日置46,059-295-0055,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%84%E3%81%A1%E3%81%97%20%E6%B4%A5%E5%B8%82
訪問看護ステーション悠ライフ津新町,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.kaigo.kind-life-japan.com/,三重県津市新町2丁目5番31号,059-253-7081,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%82%A0%E3%83%A9%E3%82%A4%E3%83%95%E6%B4%A5%E6%96%B0%E7%94%BA%20%E6%B4%A5%E5%B8%82
訪問看護・リハビリステーション　三つ葉,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%BB%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E4%B8%89%E3%81%A4%E8%91%89%20%E6%B4%A5%E5%B8%82,三重県津市高茶屋小森町95－19,059‐261‐1207,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%BB%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E4%B8%89%E3%81%A4%E8%91%89%20%E6%B4%A5%E5%B8%82
訪問看護のスウィートナース津,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.sweet-nurse.ne.jp,中河原西興２０５１,059-224-1190,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%AE%E3%82%B9%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E3%82%B9%E6%B4%A5%20%E6%B4%A5%E5%B8%82
訪問看護ステーション「ワークス」,訪問看護,三重県,津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9%E3%80%8D%20%E6%B4%A5%E5%B8%82,三重県津市久居中町281番地の２,059-271-5788,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9%E3%80%8D%20%E6%B4%A5%E5%B8%82
