name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
琵琶湖中央病院　訪問看護センター,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kou-sei-kai.or.jp/,大津市御殿浜２２－３３,077-526-2131,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%90%B5%E7%90%B6%E6%B9%96%E4%B8%AD%E5%A4%AE%E7%97%85%E9%99%A2%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E5%A4%A7%E6%B4%A5%E5%B8%82
医療法人社団山中医院,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E5%B1%B1%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%A4%A7%E6%B4%A5%E5%B8%82,大津市里３－６－２２,077-546-0031,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E5%B1%B1%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%A4%A7%E6%B4%A5%E5%B8%82
白櫻会訪問看護ステーションひなた,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hakuokai.jp/,滋賀県大津市別保二丁目８番３３号,077-534-0005,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%99%BD%E6%AB%BB%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%AA%E3%81%9F%20%E5%A4%A7%E6%B4%A5%E5%B8%82
訪問看護ステーション和顔,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%92%8C%E9%A1%94%20%E5%A4%A7%E6%B4%A5%E5%B8%82,滋賀県大津市坂本４丁目12-32,077-516-8877,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%92%8C%E9%A1%94%20%E5%A4%A7%E6%B4%A5%E5%B8%82
南大津クリニック訪問看護,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,ｈｔｔｐ://ｗｗｗ.ｒｙｏｋｕｓｅｉｋａｉ.ｊｐ,大石中一丁目6-6,077-546-1122,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8D%97%E5%A4%A7%E6%B4%A5%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%20%E5%A4%A7%E6%B4%A5%E5%B8%82
訪問看護ステーションA・T・C,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://art-care-select.com,滋賀県大津市里五丁目4-24,０７７－５７４－７１８２,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3A%E3%83%BBT%E3%83%BBC%20%E5%A4%A7%E6%B4%A5%E5%B8%82
滋賀県大津市赤尾町17-3-2,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E8%B5%A4%E5%B0%BE%E7%94%BA17-3-2%20%E5%A4%A7%E6%B4%A5%E5%B8%82,滋賀県大津市赤尾町17-3-2,077-548-6074,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E8%B5%A4%E5%B0%BE%E7%94%BA17-3-2%20%E5%A4%A7%E6%B4%A5%E5%B8%82
佐繕,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hp.kaipoke.biz/1ft/,滋賀県大津市高砂町26-65,077-535-4541,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E4%BD%90%E7%B9%95%20%E5%A4%A7%E6%B4%A5%E5%B8%82
訪問看護ステーションひまり,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http/ns-himari.com,滋賀県大津市坂本1丁目18-45,077-577-1190,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%BE%E3%82%8A%20%E5%A4%A7%E6%B4%A5%E5%B8%82
訪問看護ステーションさくらんぼ,訪問看護,滋賀県,大津市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.sakuranbo-st.jp,滋賀県大津市真野4丁目21-34,077-572-5763,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%95%E3%81%8F%E3%82%89%E3%82%93%E3%81%BC%20%E5%A4%A7%E6%B4%A5%E5%B8%82
