name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションひろば,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.fukushi-hiroba.com,京都府京都市北区平野東柳町38番地,075－366－8190,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%82%8D%E3%81%B0%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
Sunny訪問看護ステーション,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://vn.kodomo-mirai22.jp/lp/#,京都府京都市北区紫竹下緑町17-8SEEKビル１階,075-468-1807,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=Sunny%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
訪問看護ステーションのどか,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kyoto-nodoka.com/,京都市北区紫野南舟岡町70-25,０７５－４５１－６２８０,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AE%E3%81%A9%E3%81%8B%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
訪問看護ステーション「がくさい」,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E3%81%8C%E3%81%8F%E3%81%95%E3%81%84%E3%80%8D%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA,京都市北区紫野東藤ノ森町11番3,075-431-6154,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E3%81%8C%E3%81%8F%E3%81%95%E3%81%84%E3%80%8D%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
ナースステーションしんらい,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%97%E3%82%93%E3%82%89%E3%81%84%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA,小山初音町10番地3,075-495-7123,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8A%E3%83%BC%E3%82%B9%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%97%E3%82%93%E3%82%89%E3%81%84%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
訪問看護ステーション　マタクル,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://connep1.localinfo.jp,京都府京都市北区出雲路立テ本町108番地112,0757446489,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%9E%E3%82%BF%E3%82%AF%E3%83%AB%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
訪問看護リハビリステーション　ふらっと,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://atamaover-flat.com/,紫野中柏野町37-16,0753348770,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%B5%E3%82%89%E3%81%A3%E3%81%A8%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
医療法人和み会　なかつかさ内科・在宅クリニック,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,nagomi-kai.com,京都府京都市北区紫竹西桃ノ本町56,075-366-1268,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%92%8C%E3%81%BF%E4%BC%9A%E3%80%80%E3%81%AA%E3%81%8B%E3%81%A4%E3%81%8B%E3%81%95%E5%86%85%E7%A7%91%E3%83%BB%E5%9C%A8%E5%AE%85%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
京都鞍馬口医療センター　訪問看護ステーション　くらまぐち,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kyoto.jcho.go.jp/,京都府京都市北区小山下総町27番地,075-432-6768,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E4%BA%AC%E9%83%BD%E9%9E%8D%E9%A6%AC%E5%8F%A3%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8F%E3%82%89%E3%81%BE%E3%81%90%E3%81%A1%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
訪問看護ステ－ションおとく,訪問看護,京都府,京都市北区,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.paincon2004.join-us.jp/index.htm,京都府京都市北区小山南上総町7,075-411-9371,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%EF%BC%8D%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8A%E3%81%A8%E3%81%8F%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8C%97%E5%8C%BA
