name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
ケアステーション和,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%92%8C%20%E5%A5%88%E8%89%AF%E5%B8%82,奈良県奈良市左京１丁目８番７号,0742-71-7530,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B1%E3%82%A2%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%92%8C%20%E5%A5%88%E8%89%AF%E5%B8%82
東谷医院,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://higashitani-iin.com/,奈良県奈良市南魚屋町３７番地,0742-22-5731,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%9D%B1%E8%B0%B7%E5%8C%BB%E9%99%A2%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーション　アップル登美ヶ丘,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.apple-g.or.jp,奈良市中登美ヶ丘三丁目13番２,0742-52-9191,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A2%E3%83%83%E3%83%97%E3%83%AB%E7%99%BB%E7%BE%8E%E3%83%B6%E4%B8%98%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーションデューン奈良,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nfield.co.jp,奈良県奈良市大宮町２丁目４番２７号スカイヴィレッジ大宮２階,0742-36-3264,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E5%A5%88%E8%89%AF%20%E5%A5%88%E8%89%AF%E5%B8%82
社会福祉法人晃宝会　訪問看護ステーション　いちご,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.ajisaien.or.jp,奈良市南紀寺町１－２１９,0742-27-4545,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E6%B3%95%E4%BA%BA%E6%99%83%E5%AE%9D%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%84%E3%81%A1%E3%81%94%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーション佐保の里,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.lifeartcommunity.com/,佐保台2丁目902－377,0742-71-7200,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E4%BD%90%E4%BF%9D%E3%81%AE%E9%87%8C%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーション　Pieces,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80Pieces%20%E5%A5%88%E8%89%AF%E5%B8%82,奈良市三碓6丁目10-48コスモプラザ大神　203,0742-93-7336,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80Pieces%20%E5%A5%88%E8%89%AF%E5%B8%82
あかり訪問看護ステーション,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.tomorrow-light.co.jp,奈良県奈良市大安寺二丁目７番５号　１階,0742-93-4071,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%82%E3%81%8B%E3%82%8A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーショングットライフ,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B0%E3%83%83%E3%83%88%E3%83%A9%E3%82%A4%E3%83%95%20%E5%A5%88%E8%89%AF%E5%B8%82,朱雀5丁目3-10,0742-70-5093,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B0%E3%83%83%E3%83%88%E3%83%A9%E3%82%A4%E3%83%95%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーション　福優,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%A6%8F%E5%84%AA%20%E5%A5%88%E8%89%AF%E5%B8%82,芝辻町2丁目5-3タウニィマサキ105,0742-81-9031,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%A6%8F%E5%84%AA%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーションなつめ奈良,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AA%E3%81%A4%E3%82%81%E5%A5%88%E8%89%AF%20%E5%A5%88%E8%89%AF%E5%B8%82,奈良県奈良市西木辻町150-2エスポワール奈良八嘉304,0742-81-7203,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AA%E3%81%A4%E3%82%81%E5%A5%88%E8%89%AF%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーション　友舞,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%8F%8B%E8%88%9E%20%E5%A5%88%E8%89%AF%E5%B8%82,左京四丁目3番地の5,0742-71-6500,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%8F%8B%E8%88%9E%20%E5%A5%88%E8%89%AF%E5%B8%82
訪問看護ステーションアンジェロ,訪問看護,奈良県,奈良市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://asukakai.or.jp,奈良市富雄元町3丁目3-11,0742-41-5400,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A2%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AD%20%E5%A5%88%E8%89%AF%E5%B8%82
