name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションでいご,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,www.getounohana.jp,和歌山県和歌山市黒田34-1,0734-99-5584,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A7%E3%81%84%E3%81%94%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーション　きらら,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8D%E3%82%89%E3%82%89%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,和歌山県和歌山市本町４丁目３７藤井ビル２０２,073-414-0879,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8D%E3%82%89%E3%82%89%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーション　まぐねっと,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://magnet-nursing.com/,和歌山県和歌山市布施屋792-1エル布施屋110号,073-488-9767,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%BE%E3%81%90%E3%81%AD%E3%81%A3%E3%81%A8%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーションもも,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%82%E3%82%82%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,坂田665番地5,073-499-8552,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%82%E3%82%82%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
ホーム・ナース,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%BB%E3%83%8A%E3%83%BC%E3%82%B9%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,和歌山県和歌山市鳴神70‐10,073-475-1710,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%BB%E3%83%8A%E3%83%BC%E3%82%B9%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーションあした,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%81%97%E3%81%9F%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,和歌山県和歌山市榎原204-10ストリームビル１階,073-499-1199,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%81%97%E3%81%9F%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーション優々,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hp.kaipoke.biz/2ua/,和歌山県和歌山市吉礼83-1リバーサイドⅤ102号室,073-488-9103,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%84%AA%E3%80%85%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーションCOCO-CARE,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3COCO-CARE%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,和歌山市狐島691-18,0734991191,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3COCO-CARE%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
アイル訪問看護ステーション,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%83%AB%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82,和歌山県和歌山市舟津町四丁目28番地の2,073-488-3950,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%A2%E3%82%A4%E3%83%AB%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
訪問看護ステーションはーとふる和歌山,訪問看護,和歌山県,和歌山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.heartfulcare.com/royalhome/facility/wakayama/wakayama_01.html,福島700-1,073-488-9605,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%AF%E3%83%BC%E3%81%A8%E3%81%B5%E3%82%8B%E5%92%8C%E6%AD%8C%E5%B1%B1%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82
