name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
鳥取市立病院,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hospital.tottori.tottori.jp/,鳥取県鳥取市的場1-1,0857-37-1522,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%B3%A5%E5%8F%96%E5%B8%82%E7%AB%8B%E7%97%85%E9%99%A2%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護ステーション　コムパートナーズ,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.el3tottori.co.jp/,鳥取県鳥取市湖山町東4-61,0857-30-7604,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%B3%E3%83%A0%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E3%82%BA%20%E9%B3%A5%E5%8F%96%E5%B8%82
ビュートゾルフたいよう訪問看護ステーション,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hp.kaipoke.biz/3p2/,鳥取県鳥取市桂木245-25,0857-30-7217,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%93%E3%83%A5%E3%83%BC%E3%83%88%E3%82%BE%E3%83%AB%E3%83%95%E3%81%9F%E3%81%84%E3%82%88%E3%81%86%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%B3%A5%E5%8F%96%E5%B8%82
きずな訪問看護リハビリステーション,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://kizuna123.co.jp/,鳥取県鳥取市興南町113-2自然堂第一ビル　2階,0857-51-0151,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%8D%E3%81%9A%E3%81%AA%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%B3%A5%E5%8F%96%E5%B8%82
せいきょう訪問看護ステーションすずらん,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://suzuran.mcoop-tottori.jp/,鳥取県鳥取市末広温泉町203レインボーセンター2階,0857-22-4666,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%9B%E3%81%84%E3%81%8D%E3%82%87%E3%81%86%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%99%E3%81%9A%E3%82%89%E3%82%93%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護事業所　竹田内科医院,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E7%AB%B9%E7%94%B0%E5%86%85%E7%A7%91%E5%8C%BB%E9%99%A2%20%E9%B3%A5%E5%8F%96%E5%B8%82,鳥取県鳥取市本町２－１０９,0857-22-4320,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E7%AB%B9%E7%94%B0%E5%86%85%E7%A7%91%E5%8C%BB%E9%99%A2%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護ステーションふたば,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%81%9F%E3%81%B0%20%E9%B3%A5%E5%8F%96%E5%B8%82,鳥取県鳥取市国府町稲葉丘３丁目３０３,0857-23-1863,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%81%9F%E3%81%B0%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護ステーションかけはし,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://you-plus.jp/,鳥取県鳥取市大杙208-1,0857-50-1515,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%91%E3%81%AF%E3%81%97%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護ステーション　にしまち幸朋苑,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kohoen.jp,鳥取県鳥取市西町5丁目220,0857-30-6557,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%AB%E3%81%97%E3%81%BE%E3%81%A1%E5%B9%B8%E6%9C%8B%E8%8B%91%20%E9%B3%A5%E5%8F%96%E5%B8%82
訪問看護ステーション　まさたみの郷,訪問看護,鳥取県,鳥取市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%BE%E3%81%95%E3%81%9F%E3%81%BF%E3%81%AE%E9%83%B7%20%E9%B3%A5%E5%8F%96%E5%B8%82,鳥取県鳥取市杉崎596番地,0857-53-6767,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%BE%E3%81%95%E3%81%9F%E3%81%BF%E3%81%AE%E9%83%B7%20%E9%B3%A5%E5%8F%96%E5%B8%82
