name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
松江市国民健康保険来待診療所,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E6%9D%BE%E6%B1%9F%E5%B8%82%E5%9B%BD%E6%B0%91%E5%81%A5%E5%BA%B7%E4%BF%9D%E9%99%BA%E6%9D%A5%E5%BE%85%E8%A8%BA%E7%99%82%E6%89%80%20%E6%9D%BE%E6%B1%9F%E5%B8%82,松江市宍道町上来待213-1,0852-66-0002,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%9D%BE%E6%B1%9F%E5%B8%82%E5%9B%BD%E6%B0%91%E5%81%A5%E5%BA%B7%E4%BF%9D%E9%99%BA%E6%9D%A5%E5%BE%85%E8%A8%BA%E7%99%82%E6%89%80%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーション　デューン松江,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nfield.co.jp/,島根県松江市東津田町1044-1キャッスル一里塚103号,0852-33-7781,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E6%9D%BE%E6%B1%9F%20%E6%9D%BE%E6%B1%9F%E5%B8%82
ニチイケアセンター松江　訪問看護ステーション,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,www.nichiigakkan.co.jp,浜乃木6丁目8番8号コーポ岡乃山105号,0852-59-9788,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%8B%E3%83%81%E3%82%A4%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E6%9D%BE%E6%B1%9F%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーションかみぐち,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kamiguchifukushikai.jp/,島根県松江市古志原4丁目19-43,0852-61-3160,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8B%E3%81%BF%E3%81%90%E3%81%A1%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーション　GRACE,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://vns-grace.com/,島根県松江市上乃木2-17-15,0852-61-6466,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80GRACE%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーションアゼリア　アゼリア,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.mizusumikai.or.jp/,島根県松江市寺町99-26松江センターアゼリア,0852-67-5908,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%A2%E3%82%BC%E3%83%AA%E3%82%A2%E3%80%80%E3%82%A2%E3%82%BC%E3%83%AA%E3%82%A2%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーションゆあん,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://lush-care.jp/,東出雲町揖屋116-1,0852-52-7248,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%86%E3%81%82%E3%82%93%20%E6%9D%BE%E6%B1%9F%E5%B8%82
カラフル訪問看護ステーション,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%AB%E3%83%A9%E3%83%95%E3%83%AB%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%9D%BE%E6%B1%9F%E5%B8%82,島根県松江市大輪町420番地40,0852-67-1008,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%AB%E3%83%A9%E3%83%95%E3%83%AB%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーションあやめ,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,ayamens@able.ocn.ne.jp,島根県松江市西尾町936番地21,0852-39-9005,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%82%84%E3%82%81%20%E6%9D%BE%E6%B1%9F%E5%B8%82
訪問看護ステーション　くるみ,訪問看護,島根県,松江市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8F%E3%82%8B%E3%81%BF%20%E6%9D%BE%E6%B1%9F%E5%B8%82,島根県松江市黒田町50-1コーポ多賀栄102,0852-67-1516,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8F%E3%82%8B%E3%81%BF%20%E6%9D%BE%E6%B1%9F%E5%B8%82
