name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
はるかぜ訪問看護ステーション,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%AF%E3%82%8B%E3%81%8B%E3%81%9C%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%8B%E9%96%A2%E5%B8%82,綾羅木本町8-2-23コーポIVYA104,0832509388,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%AF%E3%82%8B%E3%81%8B%E3%81%9C%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%8B%E9%96%A2%E5%B8%82
フリーナースネットケアH-Nsサービス,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%83%95%E3%83%AA%E3%83%BC%E3%83%8A%E3%83%BC%E3%82%B9%E3%83%8D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2H-Ns%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%20%E4%B8%8B%E9%96%A2%E5%B8%82,山口県下関市熊野町2-4-18,083-250-6027,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%95%E3%83%AA%E3%83%BC%E3%83%8A%E3%83%BC%E3%82%B9%E3%83%8D%E3%83%83%E3%83%88%E3%82%B1%E3%82%A2H-Ns%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%20%E4%B8%8B%E9%96%A2%E5%B8%82
OHANAケアステーション,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://ohanacare-station.com,山口県下関市岬之町10-8第7トマトビル305,083-249-5663,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=OHANA%E3%82%B1%E3%82%A2%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%8B%E9%96%A2%E5%B8%82
訪問看護ステーション　花ごころ,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E8%8A%B1%E3%81%94%E3%81%93%E3%82%8D%20%E4%B8%8B%E9%96%A2%E5%B8%82,山口県下関市豊浦町豊洋台1丁目447-186ヴィレッタ豊洋台101号室,0832495164,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E8%8A%B1%E3%81%94%E3%81%93%E3%82%8D%20%E4%B8%8B%E9%96%A2%E5%B8%82
関門医療センター　ビーンズ訪問看護ステーション,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.hosp.go.jp/kanmon/,山口県下関市長府外浦町1-1関門医療センター,083-241-1199,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%96%A2%E9%96%80%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%80%80%E3%83%93%E3%83%BC%E3%83%B3%E3%82%BA%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%8B%E9%96%A2%E5%B8%82
訪問看護ステーション　共生の里,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kyouseinosato.or.jp/,山口県下関市稗田南町10番12号夢活動センターporto　2F,083-227-2916,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%85%B1%E7%94%9F%E3%81%AE%E9%87%8C%20%E4%B8%8B%E9%96%A2%E5%B8%82
豆たん　訪問看護ステーション,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.mametan.org,山口県下関市大字内日下1027-1,083-289-2698,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%B1%86%E3%81%9F%E3%82%93%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E4%B8%8B%E9%96%A2%E5%B8%82
訪問看護ステーションぽ・ねっと,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%BD%E3%83%BB%E3%81%AD%E3%81%A3%E3%81%A8%20%E4%B8%8B%E9%96%A2%E5%B8%82,山口県下関市豊浦町大字黒井10097番地の50,080-2939-5025,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%BD%E3%83%BB%E3%81%AD%E3%81%A3%E3%81%A8%20%E4%B8%8B%E9%96%A2%E5%B8%82
すみだ内科クリニック,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%99%E3%81%BF%E3%81%A0%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%20%E4%B8%8B%E9%96%A2%E5%B8%82,山口県下関市熊野町2-2-31,083-255-3111,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%99%E3%81%BF%E3%81%A0%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%20%E4%B8%8B%E9%96%A2%E5%B8%82
訪問看護ステーションあやめ下関,訪問看護,山口県,下関市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://firstnurse.co.jp/,山口県下関市一の宮町２丁目11-8メゾンドロワール　106号室,083-249-6440,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%82%84%E3%82%81%E4%B8%8B%E9%96%A2%20%E4%B8%8B%E9%96%A2%E5%B8%82
