name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
医療法人　徳松会　松永病院,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.matsunaga-hp.jp/facility/hospital/,徳島県徳島市南庄町４丁目６３－１,088-632-3328,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E5%BE%B3%E6%9D%BE%E4%BC%9A%E3%80%80%E6%9D%BE%E6%B0%B8%E7%97%85%E9%99%A2%20%E5%BE%B3%E5%B3%B6%E5%B8%82
訪問看護事業所　虹の橋病院,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nijinohashi.net/,徳島県徳島市中島田町３丁目６０番地１,088-633-0800,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E4%BA%8B%E6%A5%AD%E6%89%80%E3%80%80%E8%99%B9%E3%81%AE%E6%A9%8B%E7%97%85%E9%99%A2%20%E5%BE%B3%E5%B3%B6%E5%B8%82
スウェーデン歯科こくふ,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://sweden-kokufu.net/,国府町桜間字登々路31番1,088-676-2546,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B9%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%87%E3%83%B3%E6%AD%AF%E7%A7%91%E3%81%93%E3%81%8F%E3%81%B5%20%E5%BE%B3%E5%B3%B6%E5%B8%82
東洋病院,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.toyohosp.jp/,徳島県徳島市北島田町1丁目160番地2,088-632-7777,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%9D%B1%E6%B4%8B%E7%97%85%E9%99%A2%20%E5%BE%B3%E5%B3%B6%E5%B8%82
訪問看護ステーションみつば,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%BF%E3%81%A4%E3%81%B0%20%E5%BE%B3%E5%B3%B6%E5%B8%82,八万町上福万２２０番地１３,088-678-6773,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%BF%E3%81%A4%E3%81%B0%20%E5%BE%B3%E5%B3%B6%E5%B8%82
医療法人善成会善成病院,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%96%84%E6%88%90%E4%BC%9A%E5%96%84%E6%88%90%E7%97%85%E9%99%A2%20%E5%BE%B3%E5%B3%B6%E5%B8%82,徳島県徳島市佐古三番町７番３号,088-622-1212,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%96%84%E6%88%90%E4%BC%9A%E5%96%84%E6%88%90%E7%97%85%E9%99%A2%20%E5%BE%B3%E5%B3%B6%E5%B8%82
訪問看護ステーション　デューン徳島,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nfield.co.jp,徳島県徳島市寺島本町西1丁目10番地幸田ビル3階,088-624-2010,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%83%87%E3%83%A5%E3%83%BC%E3%83%B3%E5%BE%B3%E5%B3%B6%20%E5%BE%B3%E5%B3%B6%E5%B8%82
川内内科訪問看護,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,kawauchi-clinic.jp/,徳島県徳島市国府町和田字原淵67-1,088-632-1505,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%B7%9D%E5%86%85%E5%86%85%E7%A7%91%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%20%E5%BE%B3%E5%B3%B6%E5%B8%82
徳島往診クリニック,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://toku-oushin.jp,徳島県徳島市八万町新貝56番地の28,088-668-7318,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%BE%B3%E5%B3%B6%E5%BE%80%E8%A8%BA%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%20%E5%BE%B3%E5%B3%B6%E5%B8%82
訪問看護ステーションKanoa,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Kanoa%20%E5%BE%B3%E5%B3%B6%E5%B8%82,徳島県徳島市沖浜東3-71ニューDKハイツ本館105,088-657-7007,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Kanoa%20%E5%BE%B3%E5%B3%B6%E5%B8%82
訪問看護ステーションきょうりつ,訪問看護,徳島県,徳島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://kyoritsuhp.or.jp,徳島県徳島市八万町寺山１３番地２,088-668-1081,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8D%E3%82%87%E3%81%86%E3%82%8A%E3%81%A4%20%E5%BE%B3%E5%B3%B6%E5%B8%82
