name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
医療法人社団　樹人会　北条病院,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.hojo-hosp.jp/,松山市河野中須賀288番地5,089-993-1200,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E3%80%80%E6%A8%B9%E4%BA%BA%E4%BC%9A%E3%80%80%E5%8C%97%E6%9D%A1%E7%97%85%E9%99%A2%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーション　まいぺーす,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.fukumoto-c.com/index.html,愛媛県松山市古三津5丁目6-22,０８９－９５１－７２２３,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%BE%E3%81%84%E3%81%BA%E3%83%BC%E3%81%99%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーション松山市医師会,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.matsuyama.ehime.med.or.jp/services/houmon_d.html,愛媛県松山市柳井町2丁目85番地,089-915-7705,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%9D%BE%E5%B1%B1%E5%B8%82%E5%8C%BB%E5%B8%AB%E4%BC%9A%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーション「たちばな」,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.mhca.jp/,愛媛県松山市立花五丁目１番53号,089-986-3366,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%8C%E3%81%9F%E3%81%A1%E3%81%B0%E3%81%AA%E3%80%8D%20%E6%9D%BE%E5%B1%B1%E5%B8%82
おひさま訪問看護リハビリステーション,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://sanwa-mi.com/nurse/service/,愛媛県松山市小栗６丁目１番２２号第２白石ビル２階西,０８９－９１３－０１３０,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%8A%E3%81%B2%E3%81%95%E3%81%BE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーション　もものは,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,jcare.xyz,愛媛県松山市萱町五丁目10番地20,089-925-8077,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%82%E3%82%82%E3%81%AE%E3%81%AF%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーションきさらぎ,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8D%E3%81%95%E3%82%89%E3%81%8E%20%E6%9D%BE%E5%B1%B1%E5%B8%82,愛媛県松山市余戸南五丁目5番21号,089-954-4694,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8D%E3%81%95%E3%82%89%E3%81%8E%20%E6%9D%BE%E5%B1%B1%E5%B8%82
医療法人　東西会　訪問看護ステーション千舟,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E6%9D%B1%E8%A5%BF%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%8D%83%E8%88%9F%20%E6%9D%BE%E5%B1%B1%E5%B8%82,愛媛県松山市千舟町6丁目4-9,089-913-1180,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E6%9D%B1%E8%A5%BF%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%8D%83%E8%88%9F%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーション　エール,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A8%E3%83%BC%E3%83%AB%20%E6%9D%BE%E5%B1%B1%E5%B8%82,愛媛県松山市東石井六丁目３番３１号セゾン・ド・フローレスA棟２０５号,089-993-8212,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A8%E3%83%BC%E3%83%AB%20%E6%9D%BE%E5%B1%B1%E5%B8%82
訪問看護ステーションせとか,訪問看護,愛媛県,松山市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.herzcaresetoka.com/,祝谷町一丁目6‐10,0899038060,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%9B%E3%81%A8%E3%81%8B%20%E6%9D%BE%E5%B1%B1%E5%B8%82
