name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護センター輪看（りんか）,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,arigato.or.jp,横浜西町29番32号,088-855-7655,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E8%BC%AA%E7%9C%8B%EF%BC%88%E3%82%8A%E3%82%93%E3%81%8B%EF%BC%89%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーションであい,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,green-house@peace.ocn.ne.jp,高知市八反町１丁目３番８号,０８８－８２１－７４４１,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A7%E3%81%82%E3%81%84%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーション誠,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kochi-sei.com/,高知県高知市一宮徳谷３番５－４号,088-855-6861,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E8%AA%A0%20%E9%AB%98%E7%9F%A5%E5%B8%82
医）山口会　訪問看護ステーション　こうせい,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kochi-koseihp.jp/,高知県高知市葛島２－５－１１,088-885-6714,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%EF%BC%89%E5%B1%B1%E5%8F%A3%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%93%E3%81%86%E3%81%9B%E3%81%84%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーション　アムール,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A2%E3%83%A0%E3%83%BC%E3%83%AB%20%E9%AB%98%E7%9F%A5%E5%B8%82,高知県高知市土居町１４番1号GrandTare土居町102,088-855-6088,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A2%E3%83%A0%E3%83%BC%E3%83%AB%20%E9%AB%98%E7%9F%A5%E5%B8%82
いずみの病院,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.izumino.or.jp,高知県高知市薊野北町2丁目10番53号,088-845-5703,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%84%E3%81%9A%E3%81%BF%E3%81%AE%E7%97%85%E9%99%A2%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーションくによし,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,hhpt://www.kniosh-hp.or.jp/,高知市上町1丁目3-4,088-871-3805,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%8F%E3%81%AB%E3%82%88%E3%81%97%20%E9%AB%98%E7%9F%A5%E5%B8%82
岡村病院,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.okamura-hp.or.jp/,高知県高知市入明町１番５号,088-822-5155,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%B2%A1%E6%9D%91%E7%97%85%E9%99%A2%20%E9%AB%98%E7%9F%A5%E5%B8%82
忠さんの訪問看護ステーション,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%BF%A0%E3%81%95%E3%82%93%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%AB%98%E7%9F%A5%E5%B8%82,高知県高知市大原町84－１コーポセフィラ２０２,088-881-5551,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%BF%A0%E3%81%95%E3%82%93%E3%81%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%AB%98%E7%9F%A5%E5%B8%82
高知中央訪問看護ステーション,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://kochi-zaitaku.or.jp/licht/index.html,高知県高知市北高見町50番1号,088-855-7887,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E9%AB%98%E7%9F%A5%E4%B8%AD%E5%A4%AE%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%AB%98%E7%9F%A5%E5%B8%82
ひろ訪問看護ステーション,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.hirohoukan.com,高知県高知市神田925番地4,088-881-1500,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%B2%E3%82%8D%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%AB%98%E7%9F%A5%E5%B8%82
かもだの在宅看護センター,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,kamodano-cl.jp,高知県高知市鴨部２丁目20-5,088-803-5400,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%8B%E3%82%82%E3%81%A0%E3%81%AE%E5%9C%A8%E5%AE%85%E7%9C%8B%E8%AD%B7%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーション　生協れいんぼー,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.kochi-hco-op.or.jp,高知県高知市口細山２０６－９本部事務局２階,088-828-8610,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%94%9F%E5%8D%94%E3%82%8C%E3%81%84%E3%82%93%E3%81%BC%E3%83%BC%20%E9%AB%98%E7%9F%A5%E5%B8%82
訪問看護ステーション　ちかもり,訪問看護,高知県,高知市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.chikamori.com/group/,高知県高知市北本町１丁目２－６,088-875-8697,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%A1%E3%81%8B%E3%82%82%E3%82%8A%20%E9%AB%98%E7%9F%A5%E5%B8%82
