name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
公益社団法人　長崎県看護協会　訪問看護ステーションＹＯＵ,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.nagasaki-nurse.or.jp,長崎県長崎市魚の町3-28日本赤十字ビル6階,095-828-8747,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%85%AC%E7%9B%8A%E7%A4%BE%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%80%80%E9%95%B7%E5%B4%8E%E7%9C%8C%E7%9C%8B%E8%AD%B7%E5%8D%94%E4%BC%9A%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%EF%BC%B9%EF%BC%AF%EF%BC%B5%20%E9%95%B7%E5%B4%8E%E5%B8%82
千綿病院,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://seijinkai-chiwata.jp/,長崎県長崎市矢上町９番１２号,095-839-2121,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8D%83%E7%B6%BF%E7%97%85%E9%99%A2%20%E9%95%B7%E5%B4%8E%E5%B8%82
訪問看護ステーション結糸,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hp.kaipoke.biz/xck/index.html,長崎県長崎市緑が丘町１－４－２,095－841-7100,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E7%B5%90%E7%B3%B8%20%E9%95%B7%E5%B4%8E%E5%B8%82
医療法人　健正会　大久保病院,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,www.ohkubo-hp.com,長崎県長崎市戸石町1470番地1,095-830-2131,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E5%81%A5%E6%AD%A3%E4%BC%9A%E3%80%80%E5%A4%A7%E4%B9%85%E4%BF%9D%E7%97%85%E9%99%A2%20%E9%95%B7%E5%B4%8E%E5%B8%82
医療法人外海弘仁会　居宅介護支援事業所,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://hiurahp.jp/,長崎県長崎市下黒崎町1402番地,0959-25-0039,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E5%A4%96%E6%B5%B7%E5%BC%98%E4%BB%81%E4%BC%9A%E3%80%80%E5%B1%85%E5%AE%85%E4%BB%8B%E8%AD%B7%E6%94%AF%E6%8F%B4%E4%BA%8B%E6%A5%AD%E6%89%80%20%E9%95%B7%E5%B4%8E%E5%B8%82
カリタス診療所,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%AB%E3%83%AA%E3%82%BF%E3%82%B9%E8%A8%BA%E7%99%82%E6%89%80%20%E9%95%B7%E5%B4%8E%E5%B8%82,長崎県長崎市西出津町67-5,0959-25-1555,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%AB%E3%83%AA%E3%82%BF%E3%82%B9%E8%A8%BA%E7%99%82%E6%89%80%20%E9%95%B7%E5%B4%8E%E5%B8%82
十善会訪問看護ステーション,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.juzenkai-hospital.or.jp,長崎県長崎市淵町20番5号在宅総合支援センター内,095-801-2620,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8D%81%E5%96%84%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%95%B7%E5%B4%8E%E5%B8%82
訪問看護ステーションそよかぜ,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kenyukai-kaigo.com/service/soyokaze/,長崎市大浦町9番30号大浦診療所　４階,095-801-0680,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%9D%E3%82%88%E3%81%8B%E3%81%9C%20%E9%95%B7%E5%B4%8E%E5%B8%82
訪問看護ステーション“ひまわり”,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,www.shunkaikai.jp/himawari/,長崎県長崎市葉山1丁目28－15　S＆B葉山ショッピングプラザビル５階,095-855-3881,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E2%80%9C%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%E2%80%9D%20%E9%95%B7%E5%B4%8E%E5%B8%82
フランシスコ訪問看護ステーション,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.sfh.or.jp/,長崎県長崎市小峰町9番20号,095-846-1888（,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%82%B3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%95%B7%E5%B4%8E%E5%B8%82
訪問看護ステーションあじさい,訪問看護,長崎県,長崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.midorimidori.jp/,長崎県長崎市若草町3-25,095-894-8500,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%82%E3%81%98%E3%81%95%E3%81%84%20%E9%95%B7%E5%B4%8E%E5%B8%82
