name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
Greenガーデン訪問看護ステーション,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=Green%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A4%A7%E5%88%86%E5%B8%82,上田町三丁目3番4号チュリス古国府壱番館111号,097-579-6866,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=Green%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A4%A7%E5%88%86%E5%B8%82
ルルケア訪問看護ステーション,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,lulucarehomonkangostation.com,大分市古ヶ鶴1丁目11-30ベルデイン古ケ鶴103,0975767222,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%83%AB%E3%83%AB%E3%82%B1%E3%82%A2%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護ステーション言の葉,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://habisapo.jp/kango/,大分県大分市富士見が丘西１丁目３−１第一グリーンプラザビル２F-北A号,097-574-4818,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E8%A8%80%E3%81%AE%E8%91%89%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護　結心,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%80%80%E7%B5%90%E5%BF%83%20%E5%A4%A7%E5%88%86%E5%B8%82,大分県大分市大字羽田17組コーポ秋月102,097-511-4766,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%80%80%E7%B5%90%E5%BF%83%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護ステーション　夢咲き,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%A4%A2%E5%92%B2%E3%81%8D%20%E5%A4%A7%E5%88%86%E5%B8%82,萩原1丁目8-34,097-556-2211,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%A4%A2%E5%92%B2%E3%81%8D%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護ステーションビートルズ,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://smile-lib.com/publics/index/34/,大分県大分市城崎町２丁目２－２９アルバクレスタ城崎１０２,０９７－５３４－３４１１,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%93%E3%83%BC%E3%83%88%E3%83%AB%E3%82%BA%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護ステーションひなた,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%AA%E3%81%9F%20%E5%A4%A7%E5%88%86%E5%B8%82,大分県大分市小野鶴字上河原789-1,097-576-7140,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B2%E3%81%AA%E3%81%9F%20%E5%A4%A7%E5%88%86%E5%B8%82
あさがお賀来訪問看護ステーション,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.asagao-h.com/,大分県賀来西1丁目16-34サービス付き高齢者向け住宅あさがお,097-549-7557,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%82%E3%81%95%E3%81%8C%E3%81%8A%E8%B3%80%E6%9D%A5%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%A4%A7%E5%88%86%E5%B8%82
訪問看護ステーション天領ガーデン,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://san-ai-kai.or.jp/,大分県大分市大字田尻字高尾783-1天領ガーデンふれあい館,097-578-6271,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%A4%A9%E9%A0%98%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%20%E5%A4%A7%E5%88%86%E5%B8%82
ほうもんかんごけあすてーしょんかなた,訪問看護,大分県,大分市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%81%BB%E3%81%86%E3%82%82%E3%82%93%E3%81%8B%E3%82%93%E3%81%94%E3%81%91%E3%81%82%E3%81%99%E3%81%A6%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%E3%81%8B%E3%81%AA%E3%81%9F%20%E5%A4%A7%E5%88%86%E5%B8%82,大分県大分市大字下郡加納20組の2,097-576-9627,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BB%E3%81%86%E3%82%82%E3%82%93%E3%81%8B%E3%82%93%E3%81%94%E3%81%91%E3%81%82%E3%81%99%E3%81%A6%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%E3%81%8B%E3%81%AA%E3%81%9F%20%E5%A4%A7%E5%88%86%E5%B8%82
