name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーションふれあい,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市清武町正手1丁目81番地パークマンション106号室,0985-71-3463,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護リハビリステーション　はんもっく,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%AF%E3%82%93%E3%82%82%E3%81%A3%E3%81%8F%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市新別府町前浜1401-267,0985-41-5657,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%83%AA%E3%83%8F%E3%83%93%E3%83%AA%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%AF%E3%82%93%E3%82%82%E3%81%A3%E3%81%8F%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーションここあ,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%93%E3%81%93%E3%81%82%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市大字本郷北方2960番地３YHコーポ102号室,0985-66₋0399,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%93%E3%81%93%E3%81%82%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーション　おあふ,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8A%E3%81%82%E3%81%B5%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市清武町西新町11-3,0985-69-6538,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%8A%E3%81%82%E3%81%B5%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーション安心夢　宮崎,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%AE%89%E5%BF%83%E5%A4%A2%E3%80%80%E5%AE%AE%E5%B4%8E%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市大字島之内9686-10,0985-71-4029,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%AE%89%E5%BF%83%E5%A4%A2%E3%80%80%E5%AE%AE%E5%B4%8E%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーション　Calm,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://calm-green.jp/,宮崎県宮崎市一の宮町79番地シャンテ一の宮101号,0985-72-9844,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80Calm%20%E5%AE%AE%E5%B4%8E%E5%B8%82
わがや訪問看護ステーション,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%8F%E3%81%8C%E3%82%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%AE%AE%E5%B4%8E%E5%B8%82,宮崎県宮崎市佐土原町下那珂791番地5,0985-40-2467,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%8F%E3%81%8C%E3%82%84%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%AE%AE%E5%B4%8E%E5%B8%82
住吉慶明会訪問看護ステーション,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.keimeisw.or.jp,宮崎県宮崎市大字島之内6719-1オーシャンハイツ101号,0985-89-0255,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E4%BD%8F%E5%90%89%E6%85%B6%E6%98%8E%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーションConnectmoon,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Connectmoon%20%E5%AE%AE%E5%B4%8E%E5%B8%82,太田1丁目3－31コーポ大淀201号室,0985－72－7813,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3Connectmoon%20%E5%AE%AE%E5%B4%8E%E5%B8%82
訪問看護ステーションつむぎ,訪問看護,宮崎県,宮崎市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://kokorocare.co.jp/,宮崎県宮崎市佐土原町下田島20312番地32,0985-72-0365,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A4%E3%82%80%E3%81%8E%20%E5%AE%AE%E5%B4%8E%E5%B8%82
