name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
訪問看護ステーション　いろどり,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://irodori-station.com/,鹿児島県鹿児島市上荒田町3-1第2NTビル303,099-214-2248,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%81%84%E3%82%8D%E3%81%A9%E3%82%8A%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護かえりえ山之口,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%8B%E3%81%88%E3%82%8A%E3%81%88%E5%B1%B1%E4%B9%8B%E5%8F%A3%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82,鹿児島県鹿児島市山之口町6-10国東内科2階,050-1743-8991,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%81%8B%E3%81%88%E3%82%8A%E3%81%88%E5%B1%B1%E4%B9%8B%E5%8F%A3%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
愛仁会訪問看護ステーション,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E6%84%9B%E4%BB%81%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82,鹿児島市伊敷一丁目３番１０号３０５号,099－220－5501,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E6%84%9B%E4%BB%81%E4%BC%9A%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーション　オルタナ,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.hcd.co.jp/,鹿児島県鹿児島市草牟田二丁目17－17ヒューマングロース　６F,099-227-0021,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%AA%E3%83%AB%E3%82%BF%E3%83%8A%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーション　希喜,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://houmonkango-kiki.com/,田上7丁目35番7号エルレープｆ,099-802-1904,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E5%B8%8C%E5%96%9C%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
むぎのめ訪問看護ステーション,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.muginome-fukushi.or.jp/,鹿児島県鹿児島市川上町１８６２－１,099-295-8697,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%80%E3%81%8E%E3%81%AE%E3%82%81%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーション　シエル,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://jyouseikai.jp,鹿児島県鹿児島市紫原二丁目18番9号,099-299-0031,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%B7%E3%82%A8%E3%83%AB%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーションつばきケア,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A4%E3%81%B0%E3%81%8D%E3%82%B1%E3%82%A2%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82,鹿児島県鹿児島市鴨池2-19-2-209,099-230-0228,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%81%A4%E3%81%B0%E3%81%8D%E3%82%B1%E3%82%A2%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーションわきだ,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%8F%E3%81%8D%E3%81%A0%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82,宇宿3丁目16-17サンパール　3F,099-812-7727,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%8F%E3%81%8D%E3%81%A0%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
訪問看護ステーション　美都,訪問看護,鹿児島県,鹿児島市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%BE%8E%E9%83%BD%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82,鹿児島市天保山町11番8号ファミール美都4階,099-806-5050,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%BE%8E%E9%83%BD%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82
