name,type,pref,city,tags,description,url,address,phone,source,source_url,last_updated,external_search
コモエスタ訪問看護ステーション,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%B3%E3%83%A2%E3%82%A8%E3%82%B9%E3%82%BF%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%82%A3%E8%A6%87%E5%B8%82,沖縄県那覇市首里石嶺町4丁目433,098-884-0106,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B3%E3%83%A2%E3%82%A8%E3%82%B9%E3%82%BF%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%82%A3%E8%A6%87%E5%B8%82
医療法人　寿仁会　クリニック絆,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.utopia.jyujinkai.or.jp/,沖縄県那覇市寄宮二丁目1-18　ユートピア沖縄２階,098-854-5531,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E3%80%80%E5%AF%BF%E4%BB%81%E4%BC%9A%E3%80%80%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E7%B5%86%20%E9%82%A3%E8%A6%87%E5%B8%82
訪問看護ステーション道,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,info@houkan-michi.com,沖縄県那覇市首里末吉町１丁目７８番地比嘉,098-886-9181,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%81%93%20%E9%82%A3%E8%A6%87%E5%B8%82
はぴなす訪問看護ステーション那覇小禄,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.hapinasu.co.jp/,沖縄県那覇市田原1丁目17番1号,098-996-2480,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%AF%E3%81%B4%E3%81%AA%E3%81%99%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%82%A3%E8%A6%87%E5%B0%8F%E7%A6%84%20%E9%82%A3%E8%A6%87%E5%B8%82
合同会社縁　訪問看護ステーション　美ら,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%E7%B8%81%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%BE%8E%E3%82%89%20%E9%82%A3%E8%A6%87%E5%B8%82,宇栄原１－１９－3具志さつき荘１０１,070-3802-4072,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E5%90%88%E5%90%8C%E4%BC%9A%E7%A4%BE%E7%B8%81%E3%80%80%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E7%BE%8E%E3%82%89%20%E9%82%A3%E8%A6%87%E5%B8%82
訪問看護ステーションゆいゆい,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,http://www.yuiyui-okinawa.com,沖縄県那覇市高良3-8-23眞浩商事ビル402号,098-851-8175,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%86%E3%81%84%E3%82%86%E3%81%84%20%E9%82%A3%E8%A6%87%E5%B8%82
サクラ訪問看護ステーション,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E3%82%B5%E3%82%AF%E3%83%A9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%82%A3%E8%A6%87%E5%B8%82,久米2丁目3-14セゾン久米ビル８階,098-894-3385,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%82%B5%E3%82%AF%E3%83%A9%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%82%A3%E8%A6%87%E5%B8%82
訪問看護ステーション　エスタジオ小禄,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A8%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E5%B0%8F%E7%A6%84%20%E9%82%A3%E8%A6%87%E5%B8%82,那覇市宮城1-18-1エスタジオ小禄2階,098-858-2288,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%80%80%E3%82%A8%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%E5%B0%8F%E7%A6%84%20%E9%82%A3%E8%A6%87%E5%B8%82
ほうもんかんごすてーしょん　しゃろーむ,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,shalom.jc@jlu611.com,牧志3丁目22-35グレイスハイム喜納Ⅲ　1階,098-917-5763,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E3%81%BB%E3%81%86%E3%82%82%E3%82%93%E3%81%8B%E3%82%93%E3%81%94%E3%81%99%E3%81%A6%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%E3%80%80%E3%81%97%E3%82%83%E3%82%8D%E3%83%BC%E3%82%80%20%E9%82%A3%E8%A6%87%E5%B8%82
訪問看護ステーション夢,訪問看護,沖縄県,那覇市,"介護,訪問看護,医療",看護師などが自宅へ訪問し、健康状態の確認や医療的ケア、療養生活の支援を行います。,yumemira5585@trad.ocn.ne.jp,沖縄県那覇市首里石嶺町2丁目70番地29JK石嶺ハイツ101,098-886-5585,厚生労働省オープンデータ,https://www.mhlw.go.jp/content/12300000/jigyosho_130.csv,2025-12末,https://www.google.com/search?q=%E8%A8%AA%E5%95%8F%E7%9C%8B%E8%AD%B7%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E5%A4%A2%20%E9%82%A3%E8%A6%87%E5%B8%82
